profile,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
level1a_factor_mrf_delMontague,1,1,1,1,1,1,1,1,1,1,1,1
level1b_factor_mrf_delMontague,1,1,1,1,1,1,1,1,1,1,1,1
level1c_factor_mrf_delMontague,1,1,1,1,1,1,1,1,1,1,1,1
level2_factor_mrf_delMontague,1,1,1,1,1,1,1,1,1,1,1,1
level3_factor_mrf_delMontague,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143,0.942857143
level4_factor_mrf_delMontague,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286,0.885714286
level5_factor_mrf_delMontague,0.771428571,0.771428571,0.771428571,0.771428571,0.914285714,0.914285714,0.914285714,0.914285714,0.857142857,0.857142857,0.857142857,0.771428571
level1a_factor_mrf_delTrenton,1,1,1,1,1,1,1,1,1,1,1,1
level1b_factor_mrf_delTrenton,1,1,1,1,1,1,1,1,1,1,1,1
level1c_factor_mrf_delTrenton,1,1,1,1,1,1,1,1,1,1,1,1
level2_factor_mrf_delTrenton,1,1,1,1,1,1,1,1,1,1,1,1
level3_factor_mrf_delTrenton,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
level4_factor_mrf_delTrenton,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
level5_factor_mrf_delTrenton,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
rm_factor_mrf_delMontague_92_5,1.185185185,1.185185185,1.185185185,1.185185185,1.03125,1.03125,1.03125,1.03125,1.1,1.1,1.1,1.185185185
rm_factor_mrf_delMontague_87,1,1,1,1,1,1,1,1,1,1,1,1
rm_factor_mrf_delMontague_82_9,1,1,1,1,1,1,1,1,1,1,1,1
rm_factor_mrf_delMontague_below_82_9,0.814814815,0.814814815,0.814814815,0.814814815,0.6875,0.6875,0.6875,0.6875,0.733333333,0.733333333,0.733333333,0.814814815
rm_factor_mrf_delTrenton_92_5,1,1,1,1,1.074074074,1.074074074,1.074074074,1.074074074,1.074074074,1.074074074,1.074074074,1
rm_factor_mrf_delTrenton_87,1,1,1,1,1,1,1,1,1,1,1,1
rm_factor_mrf_delTrenton_82_9,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926
rm_factor_mrf_delTrenton_below_82_9,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926
